Khoa học tự nhiên là ngành khoa học chuyên nghiên cứu về những đối tượng nào?,"Các sự vật, hiện tượng tự nhiên và các quy luật tự nhiên."
Mục đích chính của các hoạt động nghiên cứu khoa học tự nhiên là gì?,Khám phá những điều chưa biết về thế giới tự nhiên và hình thành tri thức khoa học.
Những người chuyên nghiên cứu khoa học tự nhiên được gọi là gì?,Nhà khoa học.
"Lĩnh vực chuyên nghiên cứu về vật chất, quy luật vận động, lực, năng lượng và sự biến đổi năng lượng là _____.",Vật lí học
Đối tượng nghiên cứu chính của lĩnh vực Hóa học là gì?,Chất và sự biến đổi của chúng.
"Lĩnh vực nghiên cứu về các vật sống, mối quan hệ giữa chúng với nhau và với môi trường được gọi là _____.",Sinh học (hoặc Sinh vật học)
Khoa học Trái Đất tập trung nghiên cứu về những đối tượng nào?,Trái Đất và bầu khí quyển của nó.
Lĩnh vực chuyên nghiên cứu về quy luật vận động và biến đổi của các vật thể trên bầu trời là _____.,Thiên văn học
Ví dụ về đối tượng nghiên cứu của Vật lí học: _____,"Năng lượng điện (hoặc lực, chuyển động)."
Hoạt động nào sau đây thuộc lĩnh vực Sinh học: 'Sản xuất phân bón' hay 'Nghiên cứu vaccine'?,Nghiên cứu vaccine.
Việc dự báo thời tiết hàng ngày là ứng dụng của lĩnh vực nghiên cứu nào?,Khoa học Trái Đất.
Sử dụng kính thiên văn để quan sát các hành tinh là hoạt động thuộc lĩnh vực _____.,Thiên văn học
Hoạt động 'Bón vôi khử chua cho đất' liên quan chủ yếu đến lĩnh vực nghiên cứu nào?,Hóa học.
Nghiên cứu cách thức sản xuất phân bón hóa học thuộc lĩnh vực nghiên cứu nào?,Hóa học.
Vai trò của KHTN trong việc 'Sử dụng năng lượng gió để sản xuất điện' là gì?,"Ứng dụng công nghệ vào đời sống, sản xuất và bảo vệ môi trường."
Hoạt động nghiên cứu thạch nhũ trong hang động thể hiện vai trò nào của KHTN?,Nâng cao khả năng hiểu biết của con người về tự nhiên.
Vật sống (vật hữu sinh) là những vật có đặc điểm gì nổi bật so với vật không sống?,"Có các biểu hiện sống như trao đổi chất, lớn lên, vận động và sinh sản."
Vật không sống (vật vô sinh) được định nghĩa như thế nào?,"Là những vật không có các biểu hiện sống như trao đổi chất, lớn lên và sinh sản."
"Tại sao một chú robot có thể cười, nói và hành động như người nhưng vẫn là vật không sống?","Vì robot không có khả năng tự trao đổi chất, sinh trưởng và sinh sản tự nhiên."
Đặc trưng: Trao đổi chất và chuyển hóa năng lượng,"Sinh vật lấy thức ăn, nước uống, khí $O_2$ từ môi trường và thải chất thải, khí $CO_2$ ra ngoài."
Đặc điểm nào của vật sống mô tả quá trình cơ thể tăng trưởng về kích thước và hình thành các bộ phận mới?,Sinh trưởng và phát triển.
Quá trình sinh vật phản ứng lại các tác động từ môi trường được gọi là _____.,Cảm ứng
Mục đích của quá trình sinh sản ở vật sống là gì?,Để duy trì nòi giống.
"Phân loại: Con gà, cây cà chua, vi khuẩn.",Nhóm vật sống (vật hữu sinh).
"Phân loại: Hòn đá, cái bàn, than củi, chiếc kéo.",Nhóm vật không sống (vật vô sinh).
Tại sao than củi (từng là gỗ) lại được xếp vào nhóm vật không sống?,"Vì tại thời điểm quan sát, nó không còn các biểu hiện sống như trao đổi chất hay sinh sản."
Hiện tượng 'Cây mọc hướng về phía ánh sáng' là biểu hiện của đặc điểm sống nào?,Cảm ứng.
Vật thể tự nhiên là những vật thể như thế nào?,Là những vật thể có sẵn trong tự nhiên.
Vật thể nhân tạo là những vật thể do _____ tạo ra để phục vụ cuộc sống.,con người
Ví dụ về vật thể nhân tạo: _____,"Cái bàn (hoặc quần áo, xe đạp, máy bay)."
"Khoa học về vật chất (Vật lí, Hóa học) khác Khoa học về sự sống (Sinh học) ở điểm nào?","Khoa học vật chất nghiên cứu vật không sống, Khoa học sự sống nghiên cứu vật sống."
"Trong các đối tượng sau, đâu là vật thể tự nhiên: 'Cái bút' hay 'Dòng sông'?",Dòng sông.
Một chu kỳ ngày và đêm kéo dài 24 giờ do Trái Đất tự quay là hiện tượng thuộc lĩnh vực _____.,Thiên văn học
Hạt đậu nảy mầm và phát triển thành cây hoàn chỉnh là thí nghiệm thuộc lĩnh vực _____.,Sinh học
Sự khác biệt về cấu tạo tế bào giữa vi khuẩn và con gà là gì?,"Vi khuẩn là cơ thể đơn bào, con gà là cơ thể đa bào."
Đặc trưng: Vận động,Sinh vật di chuyển hoặc trao đổi chất giữa cơ thể với môi trường để sinh trưởng và phát triển.
Tại sao không khí không được coi là cơ thể sống dù nó có chứa khí oxygen?,Vì nó không có cấu tạo tế bào và không thực hiện các chức năng sống như sinh sản hay cảm ứng.
"Trong KHTN, nghiên cứu về các chất có trong không khí thuộc lĩnh vực _____.",Hóa học
Ví dụ về ứng dụng KHTN trong chăm sóc sức khỏe con người: _____,Sản xuất dược phẩm (hoặc chế tạo vaccine).
Tại sao việc 'Rửa bát đĩa' không được coi là nghiên cứu khoa học tự nhiên?,"Vì đây là hoạt động sinh hoạt hàng ngày, không nhằm mục đích tìm hiểu quy luật hay khám phá mới."
Đối tượng nghiên cứu của lĩnh vực Vật lí học bao gồm các dạng năng lượng và sự _____ của chúng.,biến đổi
Hoạt động 'Lấy mẫu nước nghiên cứu' nhằm phát hiện mức độ ô nhiễm thuộc vai trò nào của KHTN?,Bảo vệ môi trường và phát triển bền vững.
Vật hữu sinh và vật vô sinh đều là đối tượng nghiên cứu của lĩnh vực khoa học nào?,Khoa học tự nhiên.
Điều gì xảy ra với vật sống khi đến độ tuổi nhất định hoặc do bệnh tật/thiên tai?,Nó sẽ bị chết và trở thành vật không sống.
