Liệt kê tập hợp các số nguyên tố nhỏ hơn 14.,$\{2; 3; 5; 7; 11; 13\}$.
Thứ tự thực hiện các phép tính đối với biểu thức có dấu ngoặc là gì?,Ngoặc tròn $() \rightarrow$ Ngoặc vuông $[] \rightarrow$ Ngoặc nhọn $\{\}$.
Số đối của số $2023$ là số nào?,$-2023$.
Phân tích số $24$ ra thừa số nguyên tố.,$2^3 \cdot 3$.
Công thức tính diện tích hình thoi khi biết độ dài hai đường chéo $d_1$ và $d_2$ là gì?,$S = \frac{1}{2} d_1 \cdot d_2$.
"Nếu một người sinh năm $570$ TCN và mất năm $495$ TCN, hãy dùng phép tính số nguyên để tính tuổi của người đó.",$-495 - (-570) = 75$ (tuổi).
Đặc điểm về cạnh và góc của một hình lục giác đều là gì?,Có 6 cạnh bằng nhau và 6 góc bằng nhau.
Tập hợp các bội chung nhỏ hơn $100$ của $7$ và $6$ gồm những số nào?,$\{0; 42; 84\}$.
"Khi so sánh hai số nguyên âm, số có giá trị tuyệt đối lớn hơn thì sẽ _____.",nhỏ hơn
"Nhiệt độ hiện tại là $-17^\circ C$, nếu giảm thêm $8^\circ C$ thì nhiệt độ mới là bao nhiêu?",$-25^\circ C$.
"Để chứng minh tổng $1 + 5 + 5^2 + 5^3 + 5^4 + 5^5 + 5^6 + 5^7 + 5^8$ chia hết cho $31$, ta nên nhóm các hạng tử như thế nào?",Nhóm mỗi cụm 3 hạng tử liên tiếp: $(1 + 5 + 5^2) + 5^3(1 + 5 + 5^2) + 5^6(1 + 5 + 5^2)$.
"Trong thống kê, dữ liệu về ""Phương tiện đến trường của học sinh"" thuộc loại dữ liệu nào?",Dữ liệu không phải là số (dữ liệu định tính).
Công thức tính diện tích hình bình hành với cạnh đáy $a$ và chiều cao tương ứng $h$ là gì?,$S = a \cdot h$.
Số tự nhiên $n > 1$ không phải là số nguyên tố thì được gọi là _____.,hợp số
Một số chia hết cho $9$ khi nào?,Khi tổng các chữ số của số đó chia hết cho $9$.
Tìm $UCLN(12; 36)$.,$12$ (vì $36$ chia hết cho $12$).
Tích của hai số nguyên khác dấu luôn là một số nguyên _____.,âm
Hình thang cân có đặc điểm gì về hai đường chéo?,Hai đường chéo bằng nhau.
"Trong biểu đồ cột kép, mục đích chính của việc sử dụng hai cột cạnh nhau là gì?",Để so sánh hai đối tượng trong cùng một tiêu chí.
Phép tính $2^{2024} : 2^{2021}$ có kết quả là bao nhiêu?,$2^3 = 8$.
Số tự nhiên nhỏ nhất là số nào?,Số $0$
