"Trong Python, kết quả của lệnh `>>> 10 + 13` là bao nhiêu?",23
Câu lệnh nào dùng để in thông tin ra màn hình trong Python?,Lệnh `print()`
"Để in xâu kí tự ""xin chao"", cú pháp đúng của lệnh `print` là gì?","`print(""xin chao"")`"
"Kết quả của lệnh `print(""3.4 + 4.1 = "", 3.4 + 4.1)` là gì?",3.4 + 4.1 = 7.5
"Tên biến nào sau đây là hợp lệ trong Python: `Tin hoc`, `tin@hoc`, `10tinhoc`, `_Tinhoc10`?",`_Tinhoc10`
Quy tắc đặt tên biến trong Python cấm bắt đầu bằng ký tự nào?,Chữ số (ví dụ: `10tinhoc` là không hợp lệ).
"Sau khi thực hiện `a, b = 2, 3` và `a, b = a + b, a - b`, giá trị của `a` là bao nhiêu?",5
"Sau khi thực hiện `a, b = 2, 3` và `a, b = a + b, a - b`, giá trị của `b` là bao nhiêu?",-1
Lệnh nào dùng để chuyển đổi một xâu chứa số hoặc số thực thành số nguyên?,Lệnh `int()`
Lệnh nào dùng để chuyển đổi số nguyên hoặc xâu kí tự thành số thực?,Lệnh `float()`
"Lệnh `int(""12.0"")` có thực hiện được không?","Không, lệnh này sẽ báo lỗi vì xâu chứa số thực không thể chuyển trực tiếp sang số nguyên."
"Để kiểm tra kiểu dữ liệu của một biến trong Python, ta dùng lệnh gì?",Lệnh `type()`
Cú pháp đúng của câu lệnh rẽ nhánh `if...else` trong Python là gì?,`if <điều kiện>: <khối lệnh 1> else: <khối lệnh 2>`
"Trong cấu trúc rẽ nhánh, `<khối lệnh>` sau `if` được thực hiện khi nào?",Khi điều kiện được tính toán và cho giá trị đúng (True).
"Cho `a=6`, `b=9`. Kết quả của `if (a > b): print(a) else: print(b)` là gì?",9
Cú pháp đúng của câu lệnh lặp `for` với hàm `range` là gì?,"`for <biến đếm> in range(start, stop, step): <khối lệnh>`"
Hàm `range(n)` trả lại vùng giá trị từ đâu đến đâu?,Từ $0$ đến $n-1$.
"Trong câu lệnh `while <điều kiện>:`, `<điều kiện>` đóng vai trò là gì?",Là điều kiện lặp.
Lệnh nào dùng để dừng và thoát ngay khỏi vòng lặp mà không cần kiểm tra điều kiện?,Lệnh `break`.
Lệnh nào dùng để tính độ dài (số phần tử) của một danh sách trong Python?,Lệnh `len()`.
Lệnh nào dùng để xóa một phần tử của danh sách theo chỉ số?,Lệnh `del`.
