Vai trò chính của ren trong thiết kế kỹ thuật là gì?,Tạo mối ghép chắc chắn và truyền động.
Ren ngoài còn được gọi bằng tên gọi kỹ thuật nào khác?,Ren trục.
Ren được hình thành ở mặt trong của chi tiết được gọi là gì?,Ren trong (hoặc ren lỗ).
"Trong bản vẽ chi tiết, thành phần nào không được bao gồm?",Lí do thực hiện.
Khái niệm: Độ nhám bề mặt,Trị số nói lên độ nhấp nhô của bề mặt chi tiết sau khi gia công.
Dung sai kích thước được tính bằng hiệu giữa hai giá trị nào?,Kích thước giới hạn lớn nhất và kích thước giới hạn nhỏ nhất.
"Trong bản vẽ xây dựng, 'mặt bằng' được định nghĩa là gì?",Hình cắt bằng với các mặt phẳng cắt tưởng tượng nằm ngang đi qua cửa sổ.
Mặt đứng của ngôi nhà thể hiện đặc điểm gì của công trình?,Hình dáng kiến trúc bên ngoài của ngôi nhà.
Hình cắt trong bản vẽ xây dựng thu được khi dùng mặt phẳng cắt như thế nào?,Mặt phẳng cắt tưởng tượng thẳng đứng cắt qua không gian trống của ngôi nhà.
"Trong quy trình lập bản vẽ bằng máy tính, bước 4 là gì?",Phân tích bản vẽ và tiến hành vẽ.
"Trong giao diện AutoCAD, 'thực đơn' nằm ở vị trí nào?",Hàng chữ nằm trên cùng của màn hình.
Vùng đồ họa trong phần mềm AutoCAD nằm ở đâu?,Vùng không gian lớn nhất ở trung tâm màn hình.
Dòng lệnh trong AutoCAD nằm ở vị trí nào so với vùng đồ họa?,Nằm bên dưới vùng đồ họa.
Ưu điểm nổi bật của việc lập bản vẽ bằng máy tính so với vẽ tay là gì?,"Độ chính xác cao, thực hiện nhanh chóng và dễ dàng sửa chữa, lưu trữ."
Hoạt động đặc thù của kĩ sư nhằm giải quyết vấn đề thực tiễn dựa trên toán học và khoa học được gọi là gì?,Thiết kế kĩ thuật.
Hoạt động thiết kế kĩ thuật thường gắn liền với quá trình phát triển yếu tố nào?,Phát triển sản phẩm.
Quá trình thiết kế kĩ thuật cần xem xét đầy đủ các khía cạnh nào?,"Tài nguyên, môi trường, kinh tế và nhân văn."
Bước đầu tiên trong quy trình thiết kế kĩ thuật là gì?,Xác định vấn đề.
Tác giả có thể đăng kí bản quyền sáng chế tại thời điểm nào trong quy trình thiết kế?,Sau khi kiểm chứng giải pháp hoặc xây dựng nguyên mẫu và lập hồ sơ kĩ thuật.
"Dựa vào kết quả thử nghiệm nguyên mẫu, bước tiếp theo thường là gì?",Hoàn thiện hoặc thay đổi giải pháp.
Yếu tố nhân trắc học trong thiết kế kĩ thuật tập trung vào điều gì?,Kích thước và tư thế của con người để sản phẩm phù hợp với người dùng.
Bốn giai đoạn của vòng đời sản phẩm bao gồm những gì?,"Giới thiệu, Phát triển, Bão hòa và Suy giảm."
Giai đoạn đầu tiên của vòng đời sản phẩm được gọi là gì?,Giai đoạn giới thiệu.
Cách phổ biến nhất để cảnh báo mức độ an toàn cho người dùng thông qua thị giác là gì?,Sử dụng các màu sắc khác nhau.
Nguồn năng lượng chủ yếu đang được sử dụng hiện nay và đang có nguy cơ cạn kiệt là gì?,Các nguồn hóa thạch.
Phát triển bền vững là sự phát triển đáp ứng nhu cầu hiện tại mà không làm ảnh hưởng đến điều gì?,Khả năng đáp ứng nhu cầu của các thế hệ tương lai.
Chi phí tài chính cho hoạt động thiết kế được tính toán dựa trên các cơ sở nào?,"Chi phí cho con người, máy móc, vật liệu và năng lượng."
Việc phân tích vòng đời sản phẩm mang lại lợi ích gì trong thiết kế?,Đánh giá mức tiêu hao tài nguyên và tác động môi trường.
"Trong các giải pháp đáp ứng yêu cầu, nguyên tắc thiết kế hướng tới giải pháp có đặc điểm gì?",Giải pháp đơn giản nhất.
Mục tiêu của nguyên tắc tối thiểu tài chính trong thiết kế là gì?,Thiết kế sản phẩm chất lượng với chi phí tối thiểu.
Nguyên tắc tối thiểu tài chính cần được tuân thủ trong những giai đoạn nào?,Cả quá trình thiết kế và sản xuất sản phẩm.
Kể tên một nguồn tài nguyên gần như vô tận được khuyến khích sử dụng trong thiết kế bền vững.,Năng lượng gió (hoặc năng lượng mặt trời).
Thiết kế các khớp nối dễ tháo rời bằng tay là biểu hiện của việc tối ưu hóa cho giai đoạn nào?,Giai đoạn tái chế.
Hệ quả của việc sử dụng vật liệu không tiết kiệm trong thiết kế kĩ thuật là gì?,Làm cạn kiệt tài nguyên thiên nhiên.
"Phương pháp huy động những ý tưởng mới mẻ, sáng tạo bằng cách thảo luận nhóm được gọi là gì?",Phương pháp động não (Brainstorming).
Trong giai đoạn nào của quá trình thiết kế thì phương pháp sơ đồ tư duy ít được sử dụng nhất?,Giai đoạn hoàn thiện sản phẩm.
Phương pháp điều tra có thể thực hiện thông qua những hình thức nào?,"Phỏng vấn trực tiếp, qua điện thoại, thư tín hoặc internet."
Kĩ thuật đặt câu hỏi phổ biến nhất trong tìm hiểu vấn đề là gì?,Kĩ thuật $5W1H$.
"Trong phương pháp SCAMPER, chữ 'S' viết tắt cho từ tiếng Anh nào?",Substitute (Thay thế).
Đặc điểm của phương pháp phân tích và tổng hợp trong thiết kế là gì?,"Phân tích ưu, nhược điểm của các thông tin đã có để tổng hợp ra giải pháp mới."
Ràng buộc về giá thành trong thiết kế thường dẫn đến sự lựa chọn nào về công nghệ và vật liệu?,Sự lựa chọn vừa phải và phù hợp (không quá đắt tiền).
